Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,6737.879883,6790.169922,6698.890137,6742.959961,3779500000,6742.959961
2016-12-01,6719.700195,6791.680176,6673.830078,6735.240234,5063740000,6735.240234
2016-11-30,6733.689941,6805.609863,6682.740234,6719.990234,5533980000,6719.990234
2016-11-29,6732.580078,6792.609863,6704.299805,6747.959961,3706560000,6747.959961
2016-11-28,6743.490234,6784.069824,6696.279785,6742.790039,3505650000,6742.790039
2016-11-25,6716.459961,6772.609863,6706.779785,6751.330078,1584600000,6751.330078
2016-11-23,6681.790039,6740.839844,6651.680176,6712.75,3418640000,6712.75
2016-11-22,6678.779785,6730.450195,6640.109863,6691.120117,3957940000,6691.120117
2016-11-21,6645.220215,6699.140137,6619.299805,6671.810059,3607010000,6671.810059
2016-11-18,6630.689941,6675.740234,6589.180176,6634.180176,3572400000,6634.180176
2016-11-17,6614.27002,6667.310059,6573.879883,6631.089844,3809160000,6631.089844
2016-11-16,6638.399902,6672.890137,6570.390137,6616.169922,3830590000,6616.169922
2016-11-15,6618.410156,6687.629883,6564.910156,6649.540039,4543860000,6649.540039
2016-11-14,6576.560059,6676.810059,6511.899902,6611.470215,5367200000,6611.470215
2016-11-11,6551.439941,6615.859863,6495.419922,6570.649902,4988050000,6570.649902
2016-11-10,6514.689941,6649.620117,6454.009766,6562.100098,6451640000,6562.100098
2016-11-09,6467.72998,6571.200195,6343.290039,6511.819824,6264150000,6511.819824
2016-11-08,6452.810059,6520.669922,6395.160156,6485.459961,3916930000,6485.459961
2016-11-07,6351.830078,6476.399902,6351.830078,6463.410156,3736060000,6463.410156
2016-11-04,6332.72998,6391.359863,6285.879883,6317.850098,3837860000,6317.850098
2016-11-03,6328.240234,6380.470215,6291.240234,6327.629883,3886740000,6327.629883
2016-11-02,6343.189941,6379.899902,6286.490234,6324.930176,4248580000,6324.930176
2016-11-01,6405.02002,6430.52002,6311.580078,6349.120117,4532160000,6349.120117
2016-10-31,6386.25,6440.660156,6354.240234,6400.140137,3922400000,6400.140137
2016-10-28,6376.959961,6429.439941,6329.720215,6373.00,4019510000,6373.00
2016-10-27,6380.439941,6421.629883,6321.600098,6370.640137,4204830000,6370.640137
2016-10-26,6345.330078,6418.470215,6291.549805,6371.569824,3775200000,6371.569824
2016-10-25,6378.399902,6427.189941,6330.609863,6373.990234,3751340000,6373.990234
2016-10-24,6376.819824,6429.740234,6353.430176,6385.819824,3357320000,6385.819824
2016-10-21,6360.009766,6387.370117,6300.669922,6360.049805,3448850000,6360.049805
2016-10-20,6384.180176,6429.22998,6334.939941,6370.930176,3337170000,6370.930176
2016-10-19,6373.459961,6426.180176,6340.589844,6386.459961,3362670000,6386.459961
2016-10-18,6368.870117,6423.649902,6325.399902,6369.149902,3170000000,6369.149902
2016-10-17,6350.77002,6392.120117,6315.060059,6345.509766,2830390000,6345.509766
2016-10-14,6377.640137,6425.660156,6341.549805,6356.00,3228150000,6356.00
2016-10-13,6334.600098,6387.180176,6274.370117,6357.319824,3580450000,6357.319824
