Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,10828.990234,10867.700195,10821.209961,10838.580078,3779500000,10838.580078
2016-12-01,10860.419922,10876.379883,10812.75,10828.990234,5063740000,10828.990234
2016-11-30,10872.379883,10890.040039,10838.450195,10838.480469,5533980000,10838.480469
2016-11-29,10798.919922,10842.280273,10786.400391,10817.700195,3706560000,10817.700195
2016-11-28,10857.469727,10864.769531,10803.089844,10808.629883,3505650000,10808.629883
2016-11-25,10854.69043,10878.099609,10852.889648,10878.089844,1584600000,10878.089844
2016-11-23,10772.610352,10837.230469,10768.799805,10835.900391,3418640000,10835.900391
2016-11-22,10793.339844,10828.269531,10768.599609,10820.179688,3957940000,10820.179688
2016-11-21,10753.25,10793.370117,10752.080078,10791.839844,3607010000,10791.839844
2016-11-18,10725.339844,10735.089844,10695.219727,10709.509766,3572400000,10709.509766
2016-11-17,10717.879883,10759.150391,10717.679688,10740.080078,3809160000,10740.080078
2016-11-16,10705.469727,10719.889648,10677.269531,10699.429688,3830590000,10699.429688
2016-11-15,10680.419922,10745.530273,10664.849609,10745.509766,4543860000,10745.509766
2016-11-14,10660.450195,10695.570312,10633.980469,10679.769531,5367200000,10679.769531
2016-11-11,10644.55957,10660.980469,10585.629883,10652.240234,4988050000,10652.240234
2016-11-10,10678.969727,10735.00,10617.839844,10683.410156,6451640000,10683.410156
2016-11-09,10477.790039,10679.69043,10474.730469,10643.410156,6264150000,10643.410156
2016-11-08,10462.839844,10563.509766,10454.349609,10530.55957,3916930000,10530.55957
2016-11-07,10416.339844,10500.19043,10416.339844,10500.160156,3736060000,10500.160156
2016-11-04,10308.30957,10352.980469,10281.480469,10289.339844,3837860000,10289.339844
2016-11-03,10350.620117,10370.269531,10292.950195,10307.639648,3886740000,10307.639648
2016-11-02,10389.950195,10407.320312,10316.44043,10334.50,4248580000,10334.50
2016-11-01,10508.009766,10513.530273,10354.860352,10414.049805,4532160000,10414.049805
2016-10-31,10476.919922,10505.990234,10465.419922,10481.889648,3922400000,10481.889648
2016-10-28,10495.30957,10538.209961,10447.25,10476.620117,4019510000,10476.620117
2016-10-27,10561.540039,10562.910156,10495.870117,10503.05957,4204830000,10503.05957
2016-10-26,10505.990234,10558.75,10497.379883,10528.19043,3775200000,10528.19043
2016-10-25,10575.19043,10590.589844,10542.629883,10550.19043,3751340000,10550.19043
2016-10-24,10610.580078,10629.629883,10567.240234,10591.299805,3357320000,10591.299805
2016-10-21,10545.120117,10580.150391,10522.320312,10571.879883,3448850000,10571.879883
2016-10-20,10587.830078,10626.44043,10560.980469,10597.360352,3337170000,10597.360352
2016-10-19,10580.450195,10623.299805,10561.129883,10600.910156,3362670000,10600.910156
2016-10-18,10578.889648,10583.830078,10539.799805,10567.80957,3170000000,10567.80957
2016-10-17,10516.299805,10531.459961,10481.589844,10492.860352,2830390000,10492.860352
2016-10-14,10579.769531,10606.669922,10521.290039,10521.299805,3228150000,10521.299805
2016-10-13,10487.610352,10551.50,10425.910156,10522.94043,3580450000,10522.94043
2016-10-12,10546.009766,10587.459961,10525.55957,10560.269531,2977100000,10560.269531
2016-10-11,10656.219727,10656.219727,10510.610352,10548.00,3438270000,10548.00
2016-10-10,10671.219727,10711.830078,10671.219727,10682.69043,2916550000,10682.69043
2016-10-07,10680.469727,10689.419922,10579.629883,10626.919922,3619890000,10626.919922
2016-10-06,10664.540039,10684.900391,10627.700195,10675.740234,3461550000,10675.740234
2016-10-05,10666.410156,10703.919922,10664.150391,10683.94043,3906550000,10683.94043
2016-10-04,10705.860352,10712.580078,10597.040039,10629.150391,3750890000,10629.150391
2016-10-03,10721.849609,10721.849609,10658.55957,10690.769531,3137550000,10690.769531
2016-09-30,10679.070312,10758.009766,10668.339844,10721.730469,4173340000,10721.730469
2016-09-29,10742.080078,10764.269531,10614.040039,10643.519531,4249220000,10643.519531
